experimento,hilo,tiempo_obtener_logger_ns,timestamp_ns,mensaje,tiempo_escritura_ns,tiempo_total_registro_ns
7,1,895600,1291241182574000,3,3140600,
7,3,775400,1291241183116900,6,960900,
7,2,880100,1291241183729800,6,2136400,
7,4,732100,1291241184268300,3,3198700,
7,2,880100,1291241184725900,7,992400,
7,3,775400,1291241185245400,7,2125100,
7,1,895600,1291241185755200,4,3177300,
7,3,775400,1291241186204300,8,954200,
7,2,880100,1291241186608600,8,1879000,
7,4,732100,1291241187057100,4,2784700,
7,2,880100,1291241187485900,9,873800,
7,3,775400,1291241188013600,9,1806400,
7,1,895600,1291241188391100,5,2632400,
7,3,775400,1291241188905500,10,888500,
7,2,880100,1291241189385200,10,1895800,
7,4,732100,1291241189777000,5,2716500,
7,2,880100,1291241190249000,11,856000,
7,3,775400,1291241190586000,11,1661500,
7,1,895600,1291241191042900,6,2647600,
7,3,775400,1291241191394700,12,805800,
7,2,880100,1291241191885400,12,1633200,
7,4,732100,1291241192216200,6,2436500,
7,2,880100,1291241192677700,13,789200,
7,3,775400,1291241192997900,13,1600700,
7,1,895600,1291241193349000,7,2303000,
7,3,775400,1291241193689500,14,689000,
7,2,880100,1291241194171400,14,1485800,
7,4,732100,1291241194529300,7,2310600,
7,1,895600,1291241194877400,8,1525500,
7,4,732100,1291241195343100,8,810900,
7,1,895600,1291241195762500,9,882400,
7,4,732100,1291241196241600,9,895100,
7,1,895600,1291241196586900,10,820900,
7,4,732100,1291241197042400,10,797500,
7,1,895600,1291241197363600,11,769800,
7,4,732100,1291241197723800,11,674400,
7,1,895600,1291241198050400,12,684000,
7,4,732100,1291241198387800,12,631900,
7,1,895600,1291241198741700,13,688800,
7,4,732100,1291241199089200,13,699000,
7,1,895600,1291241199473800,14,728400,
7,4,732100,1291241199813800,14,722100,
7,1,895600,,,TOTAL,,57705700
7,2,880100,,,TOTAL,,52390700
7,3,775400,,,TOTAL,,51920500
7,4,732100,,,TOTAL,,58038800
8,4,518700,1291241365096900,0,27964800,
8,2,734800,1291241366013500,0,28833200,
8,3,556900,1291241366892800,0,29749900,
8,1,679100,1291241367443400,0,30353600,
8,3,556900,1291241367871700,1,969200,
8,4,518700,1291241368377200,1,1987200,
8,2,734800,1291241369199300,1,2807600,
8,4,518700,1291241369736400,2,1355300,
8,4,518700,1291241370373600,3,632500,
8,3,556900,1291241370963900,2,3088200,
8,1,679100,1291241371538300,1,4086800,
8,3,556900,1291241371976000,3,1007900,
8,4,518700,1291241372366900,4,1988600,
8,2,734800,1291241372967700,2,3759500,
8,4,518700,1291241373453600,5,1082800,
8,3,556900,1291241373999400,4,2019900,
8,1,679100,1291241374487600,2,2945600,
8,3,556900,1291241375073700,5,1070300,
8,4,518700,1291241375575600,6,2118100,
8,2,734800,1291241376160500,3,3188900,
8,4,518700,1291241376628900,7,1049100,
8,3,556900,1291241377177800,6,2099700,
8,1,679100,1291241377599800,3,3107000,
8,3,556900,1291241378186500,7,1004500,
8,4,518700,1291241378794300,8,2161400,
8,2,734800,1291241379345200,4,3179900,
8,4,518700,1291241380008800,9,1209000,
8,3,556900,1291241380581300,8,2389100,
8,3,556900,1291241381306500,9,720300,
8,1,679100,1291241381846100,4,4242300,
8,3,556900,1291241382272600,10,960500,
8,4,518700,1291241382785300,10,2771000,
8,2,734800,1291241383346700,5,3997100,
8,4,518700,1291241383911300,11,1113900,
8,3,556900,1291241384688600,11,2388200,
8,3,556900,1291241385506000,12,811000,
8,1,679100,1291241386201600,5,4351100,
8,1,679100,1291241386934900,6,726900,
8,3,556900,1291241387607300,13,2094900,
8,4,518700,1291241388069900,12,4153300,
8,2,734800,1291241388561100,6,5209500,
8,4,518700,1291241389077200,13,1002900,
8,3,556900,1291241389459000,14,1845700,
8,1,679100,1291241389964400,7,3023600,
8,4,518700,1291241390423100,14,1343100,
8,2,734800,1291241390927200,7,2363100,
8,1,679100,1291241391319000,8,1351600,
8,2,734800,1291241391889700,8,958900,
8,1,679100,1291241392380600,9,1059200,
8,2,734800,1291241392913500,9,1021000,
8,1,679100,1291241393309800,10,926300,
8,2,734800,1291241393827600,10,910500,
8,1,679100,1291241394195000,11,873300,
8,2,734800,1291241394767700,11,928400,
8,1,679100,1291241395293800,12,1096300,
8,2,734800,1291241395976000,12,1165300,
8,1,679100,1291241396462200,13,1164800,
8,2,734800,1291241396976800,13,997200,
8,1,679100,1291241397369200,14,903500,
8,2,734800,1291241397859200,14,878800,
8,1,679100,,,TOTAL,,60282300
8,2,734800,,,TOTAL,,60682200
8,3,556900,,,TOTAL,,52319200
8,4,518700,,,TOTAL,,53294500
9,3,692200,1291241584181200,0,30119000,
9,2,581300,1291241584893600,0,30886600,
9,1,741700,1291241585623600,0,31652100,
9,4,800900,1291241586255300,0,32150800,
9,1,741700,1291241586832400,1,1201400,
9,1,741700,1291241587332300,2,496800,
9,1,741700,1291241587844800,3,509600,
9,3,692200,1291241588506800,1,3276700,
9,2,581300,1291241589196700,1,3966600,
9,3,692200,1291241589757600,2,1247200,
9,1,741700,1291241590421700,4,2573900,
9,1,741700,1291241590825800,5,400200,
9,1,741700,1291241591259300,6,431000,
9,1,741700,1291241591751200,7,488000,
9,1,741700,1291241592227600,8,473400,
9,4,800900,1291241592640800,1,6379300,
9,1,741700,1291241593194800,9,963700,
9,1,741700,1291241593668100,10,470200,
9,1,741700,1291241594209800,11,521100,
9,3,692200,1291241594786700,3,5025500,
9,2,581300,1291241595174900,2,5973100,
9,3,692200,1291241595720700,4,931200,
9,1,741700,1291241596239400,12,2026600,
9,4,800900,1291241596613300,2,3969800,
9,1,741700,1291241597063300,13,821200,
9,3,692200,1291241597483500,5,1759200,
9,2,581300,1291241597875800,3,2697700,
9,3,692200,1291241598344400,6,858200,
